State,State Code,Year,Population
Hawaii,HI,2013,1408243.0
Idaho,ID,2013,1611206.0
Illinois,IL,2013,12895129.0
Indiana,IN,2013,6568713.0
Iowa,IA,2013,3092997.0
Kansas,KS,2013,2893212.0
Kentucky,KY,2013,4404659.0
Louisiana,LA,2013,4624527.0
Maine,ME,2013,1328009.0
Maryland,MD,2013,5923188.0
Massachusetts,MA,2013,6713315.0
Michigan,MI,2013,9913065.0
Minnesota,MN,2013,5413479.0
Mississippi,MS,2013,2988711.0
Missouri,MO,2013,6040715.0
Montana,MT,2013,1013569.0
Nebraska,NE,2013,1865279.0
Nevada,NV,2013,2775970.0
New Hampshire,NH,2013,1326622.0
New Jersey,NJ,2013,8856972.0
New Mexico,NM,2013,2092273.0
New York,NY,2013,19624447.0
North Carolina,NC,2013,9843336.0
North Dakota,ND,2013,722036.0
Ohio,OH,2013,11576684.0
Oklahoma,OK,2013,3853214.0
Oregon,OR,2013,3922468.0
Pennsylvania,PA,2013,12776309.0
Rhode Island,RI,2013,1055081.0
South Carolina,SC,2013,4764080.0
South Dakota,SD,2013,842316.0
Tennessee,TN,2013,6494340.0
Texas,TX,2013,26480266.0
Utah,UT,2013,2897640.0
Vermont,VT,2013,626210.0
Virginia,VA,2013,8252427.0
Washington,WA,2013,6963985.0
West Virginia,WV,2013,1853914.0
Wisconsin,WI,2013,5736754.0
Wyoming,WY,2013,582122.0
Puerto Rico,PR,2013,3593077.0
Alabama,AL,2014,4841799.0
Alaska,AK,2014,736283.0
Arizona,AZ,2014,6730413.0
Arkansas,AR,2014,2967392.0
California,CA,2014,38596972.0
Colorado,CO,2014,5350101.0
Connecticut,CT,2014,3594524.0
Delaware,DE,2014,932487.0
District of Columbia,DC,2014,662328.0
Florida,FL,2014,19845911.0
Georgia,GA,2014,10067278.0
Hawaii,HI,2014,1414538.0
Idaho,ID,2014,1631112.0
Illinois,IL,2014,12884493.0
Indiana,IN,2014,6593644.0
Iowa,IA,2014,3109350.0
Kansas,KS,2014,2900475.0
Kentucky,KY,2014,4414349.0
Louisiana,LA,2014,4644013.0
Maine,ME,2014,1330513.0
Maryland,MD,2014,5957283.0
Massachusetts,MA,2014,6762596.0
Michigan,MI,2014,9929848.0
Minnesota,MN,2014,5451079.0
Mississippi,MS,2014,2990468.0
Missouri,MO,2014,6056202.0
Montana,MT,2014,1021869.0
Nebraska,NE,2014,1879321.0
Nevada,NV,2014,2817628.0
New Hampshire,NH,2014,1333341.0
New Jersey,NJ,2014,8864525.0
New Mexico,NM,2014,2089568.0
New York,NY,2014,19651049.0
North Carolina,NC,2014,9932887.0
North Dakota,ND,2014,737401.0
Ohio,OH,2014,11602700.0
Oklahoma,OK,2014,3878187.0
Oregon,OR,2014,3963244.0
Pennsylvania,PA,2014,12788313.0
Rhode Island,RI,2014,1055936.0
South Carolina,SC,2014,4823617.0
South Dakota,SD,2014,849129.0
Tennessee,TN,2014,6541223.0
Texas,TX,2014,26964333.0
Utah,UT,2014,2936879.0
Vermont,VT,2014,625214.0
Virginia,VA,2014,8310993.0
Washington,WA,2014,7054655.0
West Virginia,WV,2014,1849489.0
Wisconsin,WI,2014,5751525.0
Wyoming,WY,2014,582531.0
Puerto Rico,PR,2014,3534874.0
Alabama,AL,2015,4852347.0
Alaska,AK,2015,737498.0
Arizona,AZ,2015,6829676.0
Arkansas,AR,2015,2978048.0
California,CA,2015,38918045.0
Colorado,CO,2015,5450623.0
Connecticut,CT,2015,3587122.0
Delaware,DE,2015,941252.0
District of Columbia,DC,2015,675400.0
Florida,FL,2015,20209042.0
Georgia,GA,2015,10178447.0
Hawaii,HI,2015,1422052.0
Idaho,ID,2015,1651059.0
Illinois,IL,2015,12858913.0
Indiana,IN,2015,6608422.0
Iowa,IA,2015,3120960.0
Kansas,KS,2015,2909011.0
Kentucky,KY,2015,4425976.0
Louisiana,LA,2015,4664628.0
Maine,ME,2015,1328262.0
Maryland,MD,2015,5985562.0
Massachusetts,MA,2015,6794228.0
Michigan,MI,2015,9931715.0
Minnesota,MN,2015,5482032.0
Mississippi,MS,2015,2988471.0
Missouri,MO,2015,6071732.0
Montana,MT,2015,1030475.0
Nebraska,NE,2015,1891277.0
Nevada,NV,2015,2866939.0
New Hampshire,NH,2015,1336350.0
New Jersey,NJ,2015,8867949.0
New Mexico,NM,2015,2089291.0
New York,NY,2015,19654666.0
North Carolina,NC,2015,10031646.0
North Dakota,ND,2015,754066.0
Ohio,OH,2015,11617527.0
Oklahoma,OK,2015,3909500.0
Oregon,OR,2015,4015792.0
Pennsylvania,PA,2015,12784826.0
Rhode Island,RI,2015,1056065.0
South Carolina,SC,2015,4891938.0
South Dakota,SD,2015,853988.0
Tennessee,TN,2015,6591170.0
Texas,TX,2015,27470056.0
Utah,UT,2015,2981835.0
Vermont,VT,2015,625216.0
Virginia,VA,2015,8361808.0
Washington,WA,2015,7163657.0
West Virginia,WV,2015,1842050.0
Wisconsin,WI,2015,5760940.0
Wyoming,WY,2015,585613.0
Puerto Rico,PR,2015,3473232.0
Alabama,AL,2016,4863525.0
Alaska,AK,2016,741456.0
Arizona,AZ,2016,6941072.0
Arkansas,AR,2016,2989918.0
California,CA,2016,39167117.0
Colorado,CO,2016,5539215.0
Connecticut,CT,2016,3578141.0
Delaware,DE,2016,948921.0
District of Columbia,DC,2016,685815.0
Florida,FL,2016,20613477.0
Georgia,GA,2016,10301890.0
Hawaii,HI,2016,1427559.0
Idaho,ID,2016,1682380.0
Illinois,IL,2016,12820527.0
Indiana,IN,2016,6634304.0
Iowa,IA,2016,3131371.0
Kansas,KS,2016,2910844.0
Kentucky,KY,2016,4438182.0
Louisiana,LA,2016,4678135.0
Maine,ME,2016,1331317.0
Maryland,MD,2016,6003323.0
Massachusetts,MA,2016,6823608.0
Michigan,MI,2016,9950571.0
Minnesota,MN,2016,5522744.0
Mississippi,MS,2016,2987938.0
Missouri,MO,2016,6087135.0
Montana,MT,2016,1040859.0
Nebraska,NE,2016,1905616.0
Nevada,NV,2016,2917563.0
New Hampshire,NH,2016,1342307.0
New Jersey,NJ,2016,8870827.0
New Mexico,NM,2016,2091630.0
New York,NY,2016,19633428.0
North Carolina,NC,2016,10154788.0
North Dakota,ND,2016,754434.0
Ohio,OH,2016,11634370.0
Oklahoma,OK,2016,3926331.0
Oregon,OR,2016,4089976.0
Pennsylvania,PA,2016,12782275.0
Rhode Island,RI,2016,1056770.0
South Carolina,SC,2016,4957968.0
South Dakota,SD,2016,862996.0
Tennessee,TN,2016,6646010.0
Texas,TX,2016,27914410.0
Utah,UT,2016,3041868.0
Vermont,VT,2016,623657.0
Virginia,VA,2016,8410106.0
Washington,WA,2016,7294771.0
West Virginia,WV,2016,1831023.0
Wisconsin,WI,2016,5772628.0
Wyoming,WY,2016,584215.0
Puerto Rico,PR,2016,3406672.0
Alabama,AL,2017,4874486.0
Alaska,AK,2017,739700.0
Arizona,AZ,2017,7044008.0
Arkansas,AR,2017,3001345.0
California,CA,2017,39358497.0
Colorado,CO,2017,5611885.0
Connecticut,CT,2017,3573297.0
Delaware,DE,2017,956823.0
District of Columbia,DC,2017,694906.0
Florida,FL,2017,20963613.0
Georgia,GA,2017,10410330.0
Hawaii,HI,2017,1424393.0
Idaho,ID,2017,1717715.0
Illinois,IL,2017,12778828.0
Indiana,IN,2017,6658078.0
Iowa,IA,2017,3141550.0
Kansas,KS,2017,2908718.0
Kentucky,KY,2017,4452268.0
Louisiana,LA,2017,4670560.0
Maine,ME,2017,1334612.0
Maryland,MD,2017,6023868.0
Massachusetts,MA,2017,6859789.0
